,Unnamed: 0,Unnamed: 0.1,CASE_NO,Decision_Date,Case_Status,APPLICATION_TYPE,Employer_Name,Employer_address_1,Employer_address_2,Employer_City,Employer_State,Employer_Postal_Code,2007_NAICS_US_CODE,2007_NAICS_US_TITLE,US_ECONOMIC_SECTOR,PW_SOC_Code,PW_SOC_TITLE,PW_Job_Title_9089,PW_LEVEL_9089,PW_SOURCE_NAME_9089,PW_AMOUNT_9089,PW_UNIT_OF_PAY_9089,WAGE_OFFERED_FROM_9089,WAGE_OFFERED_TO_9089,WAGE_OFFERED_UNIT_OF_PAY_9089,Job_Info_Work_City,Job_Info_Work_State,Country_of_Citizenship,Class_of_Admission,Annual_Wage,Certified
1446,42654,51693,A-13072-47807,2013/12/11 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,103722.0,Year,103722.0,110000.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,103722.0,1
1447,42670,51712,A-13053-42603,2013/11/7 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,82370.0,Year,82378.0,180000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,82370.0,1
1449,42679,51723,A-13035-37635,2013/11/15 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level III,OES,128294.0,Year,128294.0,180000.0,Year,Santa Clara,CALIFORNIA,ISRAEL,H-1B,128294.0,1
1450,42683,51730,A-13032-37077,2013/10/28 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,86195.0,Year,86195.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,86195.0,1
1451,42709,51761,A-13036-37947,2013/11/15 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,92626.0,Year,92631.0,180000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,92626.0,1
1452,42733,51793,A-13207-83287,2014/4/16 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,85176.0,1
1453,42770,51832,A-13077-48989,2014/2/18 00:00:00,Certified-Expired,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level III,OES,121285.0,Year,130000.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,121285.0,1
1454,42780,51845,A-13072-47873,2014/2/14 00:00:00,Certified-Expired,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,103722.0,Year,114500.0,,Year,Santa Clara,CALIFORNIA,SOUTH KOREA,H-1B,103722.0,1
1455,42818,51888,A-13030-36063,2013/11/27 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,102963.0,Year,102963.0,180000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,102963.0,1
1457,42830,51908,A-13048-41188,2013/10/29 00:00:00,Certified-Expired,ONLINE,"MALHAR, INC.",3200 PATRICK HENRY DRIVE,2ND FLOOR,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level IV,OES,133328.0,Year,133328.0,,Year,Sunnyvale,CALIFORNIA,INDIA,H-1B,133328.0,1
1458,42848,51930,A-13218-85918,2014/4/4 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,11-9041,Architectural and Engineering Managers,Architectural and Engineering Managers,Level II,OES,143083.0,Year,143083.0,,Year,Santa Clara,CALIFORNIA,CANADA,H-1B,143083.0,1
1459,42863,51946,A-13029-35379,2014/7/17 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,86195.0,Year,86195.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,86195.0,1
1463,42922,52011,A-13190-78492,2014/4/23 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,82333.0,Year,82854.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,82333.0,1
1465,42937,52031,A-13232-89892,2014/3/24 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,109138.0,Year,109138.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,109138.0,1
1467,42965,52067,A-13213-84796,2014/4/16 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2061,Computer Hardware Engineers,Computer Hardware Engineers,,Other,79702.0,Year,79702.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,79702.0,1
1468,42966,52071,A-13218-86004,2014/4/9 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level III,OES,124030.0,Year,140000.0,,Year,Santa Clara,CALIFORNIA,SOUTH KOREA,H-1B,124030.0,1
1471,42993,52105,A-13207-83352,2014/4/30 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,78992.0,Year,78992.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,78992.0,1
1472,43052,52174,A-13198-80701,2014/3/14 00:00:00,Certified-Expired,ONLINE,SILVER PEAK,2860 DE LA CRUZ BLVD.,#100,SANTA CLARA,CALIFORNIA,95050,541511,Custom Computer Programming Services,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,109138.0,Year,130000.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,109138.0,1
1473,43085,52211,A-13165-72107,2014/3/28 00:00:00,Certified-Expired,ONLINE,"OMNIVISION TECHNOLOGIES, INC.",4275 BURTON DRIVE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,102731.0,Year,102731.0,,Year,Santa Clara,CALIFORNIA,TAIWAN,H-1B,102731.0,1
1475,43181,52329,A-13114-58961,2014/1/2 00:00:00,Certified-Expired,ONLINE,"APPLIED MATERIALS, INC.",3225 OAKMEAD VILLAGE DRIVE,,SANTA CLARA,CALIFORNIA,95054,33441,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,11-3061,Purchasing Managers,Purchasing Managers,Level II,OES,101462.0,Year,101462.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,101462.0,1
1476,43190,52341,A-13164-71731,2014/3/28 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,107060.0,Year,107060.0,142900.0,Year,Santa Clara,CALIFORNIA,MEXICO,H-1B,107060.0,1
1477,43226,52387,A-13136-64410,2014/1/13 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,88341.0,Year,88400.0,,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,88341.0,1
1479,43237,52399,A-13130-62901,2014/2/6 00:00:00,Certified-Expired,ONLINE,IRISLOGIC INC,2354 WALSH AVE,,SANTA CLARA,CALIFORNIA,95051,541511,Custom Computer Programming Services,IT,15-1142,Network and Computer Systems Administrators*,Network and Computer Systems Administrators*,Level II,OES,81619.0,Year,105000.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,81619.0,1
1481,43268,52434,A-13120-60128,2014/1/16 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,93630.0,Year,93630.0,100000.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,93630.0,1
1482,43352,52538,A-13169-72911,2014/2/10 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85200.0,,Year,Folsom,CALIFORNIA,INDIA,H-1B,85176.0,1
1483,43375,52569,A-13197-80613,2014/4/14 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level IV,OES,112195.0,Year,112195.0,171300.0,Year,Folsom,CALIFORNIA,BANGLADESH,H-1B,112195.0,1
1486,43443,52654,A-13197-80554,2014/4/4 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,109138.0,Year,109138.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,109138.0,1
1488,43485,52703,A-13171-73900,2014/4/4 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1111,Computer and Information Research Scientists,Computer and Information Research Scientists,Level I,OES,91437.0,Year,91437.0,171300.0,Year,Santa Clara,CALIFORNIA,SOUTH KOREA,H-1B,91437.0,1
1489,43495,52718,A-13172-74074,2014/4/17 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level III,OES,128294.0,Year,128294.0,171300.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,128294.0,1
1491,43577,52821,A-13191-79075,2014/4/23 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,85176.0,1
1496,43626,52881,A-13157-69382,2014/4/2 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1132,"Software Developers, Applications","Software Developers, Applications",Level II,OES,77938.0,Year,77938.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,77938.0,1
1497,43629,52886,A-13143-66208,2014/2/21 00:00:00,Certified-Expired,ONLINE,KNO INC.,5155 OLD IRONSIDES DRIVE,,SANTA CLARA,CALIFORNIA,95054,511210,Software Publishers,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level IV,OES,133328.0,Year,133328.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,133328.0,1
1501,43797,53080,A-13228-89103,2014/4/23 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,142900.0,Year,Folsom,CALIFORNIA,BANGLADESH,H-1B,85176.0,1
1502,43808,53094,A-13226-88137,2014/3/20 00:00:00,Certified-Expired,ONLINE,ACNOVATE CORPORATION,"3160 DE LA CRUZ BLVD, SUITE 206",,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1121,Computer Systems Analysts,Computer Systems Analysts,Level III,OES,99653.0,Year,99655.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,99653.0,1
1504,43878,53177,A-13297-05401,2014/5/7 00:00:00,Certified,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,15-1132,"Software Developers, Applications","Software Developers, Applications",Level IV,OES,133328.0,Year,134000.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,133328.0,1
1507,44130,53476,A-13267-99731,2014/6/5 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level IV,OES,142667.0,Year,150000.0,157108.0,Year,Santa Clara,CALIFORNIA,CANADA,H-1B,142667.0,1
1508,44158,53510,A-14022-34683,2014/8/26 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1111,Computer and Information Research Scientists,Computer and Information Research Scientists,Level I,OES,82077.0,Year,121950.0,171300.0,Year,Santa Clara,CALIFORNIA,SOUTH KOREA,H-1B,82077.0,1
1509,44238,53604,A-13354-26943,2014/6/20 00:00:00,Certified,ONLINE,"INTEL MOBILE COMMUNICATIONS, INC.",2200 MISSION COLLEGE BLVD. RN4-151,,SANTA CLARA,CALIFORNIA,95054,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level IV,OES,127442.0,Year,127442.0,171300.0,Year,San Diego,CALIFORNIA,INDIA,H-1B,127442.0,1
1511,44258,53628,A-13350-25395,2014/7/24 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level IV,OES,117562.0,Year,117562.0,171300.0,Year,San Diego,CALIFORNIA,INDIA,H-1B,117562.0,1
1512,44275,53648,A-14007-30780,2014/7/23 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,83648.0,Year,83782.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,83648.0,1
1515,44447,53857,A-13335-19968,2014/6/5 00:00:00,Certified,ONLINE,"BODHTREE SOLUTIONS, INC",5201 GREAT AMERICA PARKWAY SUITE 532,,SANTA CLARA,CALIFORNIA,95054,54151,Computer Systems Design and Related Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level IV,OES,134534.0,Year,134600.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,134534.0,1
1517,44493,53911,A-13339-22267,2014/6/23 00:00:00,Certified,ONLINE,"ARISTA NETWORKS, INC.",5453 GREAT AMERICA PARKWAY,,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,109410.0,Year,130000.0,150000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,109410.0,1
1518,44533,53957,A-13340-22724,2014/7/7 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,105394.0,Year,130000.0,157470.0,Year,Santa Clara,CALIFORNIA,IRAN,H-1B,105394.0,1
1520,44632,54074,A-14016-33510,2014/6/26 00:00:00,Certified,ONLINE,SILVACO INC.,4701 PATRICK HENRY DR,,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level IV,OES,134534.0,Year,134534.0,,Year,Santa Clara,CALIFORNIA,BELARUS,H-1B,134534.0,1
1521,44661,54111,A-14027-36417,2014/7/16 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level III,OES,124030.0,Year,124030.0,171300.0,Year,Santa Clara,CALIFORNIA,CANADA,H-1B,124030.0,1
1522,44686,54138,A-14111-62347,2014/9/24 00:00:00,Certified,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,84752.0,Year,85000.0,87500.0,Year,Santa Clara,CALIFORNIA,TAIWAN,H-1B,84752.0,1
1523,44705,54158,A-14022-34866,2014/8/26 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,94928.0,Year,95397.0,142900.0,Year,Santa Clara,CALIFORNIA,TAIWAN,H-1B,94928.0,1
1525,44732,54190,A-14021-34381,2014/7/3 00:00:00,Certified,ONLINE,"INTEL MEDIA, INC.",2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95054,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,108836.0,Year,109512.0,171300.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,108836.0,1
1526,44760,54223,A-14024-35508,2014/9/30 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,83176.0,Year,84752.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,83176.0,1
1527,44806,54273,A-14056-45188,2014/9/4 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,104600.0,Year,134000.0,155615.0,Year,Santa Clara,CALIFORNIA,SOUTH KOREA,H-1B,104600.0,1
1529,44894,54379,A-14014-32497,2014/7/10 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,80297.0,Year,80297.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,80297.0,1
1530,44936,54428,A-14065-49739,2014/8/25 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level III,OES,127150.0,Year,130000.0,157470.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,127150.0,1
1531,44941,54433,A-14079-54565,2014/8/29 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,82285.0,Year,82285.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,82285.0,1
1536,45048,54564,A-14035-38845,2014/7/16 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level IV,OES,127442.0,Year,127442.0,171300.0,Year,San Diego,CALIFORNIA,BRAZIL,H-1B,127442.0,1
1538,45068,54587,A-14059-46678,2014/8/21 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,108806.0,Year,109291.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,108806.0,1
1539,45087,54611,A-14034-38383,2014/8/12 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2061,Computer Hardware Engineers,Computer Hardware Engineers,,Other,80033.0,Year,80033.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,80033.0,1
1541,45129,54658,A-14042-41065,2014/7/17 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,83648.0,Year,84752.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,83648.0,1
1543,45142,54672,A-14042-40998,2014/7/29 00:00:00,Certified,ONLINE,"ARISTA NETWORKS, INC.",5453 GREAT AMERICA PARKWAY,,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,106842.0,Year,122000.0,138000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,106842.0,1
1545,45198,54739,A-12060-42774,2014/8/1 00:00:00,Certified,ONLINE,"AGILENT TECHNOLOGIES, INC.",5301 STEVENS CREEK BLVD,,SANTA CLARA,CALIFORNIA,95051,334419,Other Electronic Component Manufacturing,Advanced Mfg,15-1051.00,Computer Systems Analysts,Computer Systems Analysts,Level IV,OES,113360.0,Year,133360.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,113360.0,1
1546,45214,54756,A-12256-98354,2013/12/10 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,85470.0,Year,85470.0,90000.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,85470.0,1
1547,45253,54803,A-12257-98736,2013/12/10 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,83875.0,Year,85000.0,95000.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,83875.0,1
1548,45270,54825,A-12289-07214,2014/3/11 00:00:00,Certified-Expired,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,109138.0,Year,118462.55,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,109138.0,1
1549,45288,54848,A-12220-89188,2014/5/5 00:00:00,Certified,ONLINE,"OMNIVISION TECHNOLOGIES, INC.",4275 BURTON DRIVE,,SANTA CLARA,CALIFORNIA,95054,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,102731.0,Year,102731.0,,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,102731.0,1
